Filename, Peak Memory (MiB), Compression time (ms), Encoding time (ms), Bitsize, No. of rules, CFG size, Data Type
s1.txt, 0.124, 0.118015 ms, 0.017486, 1136, 12, 97, repetitive
s2.txt, 0.083, 0.003264 ms, 0.008341, 72, 0, 4, repetitive
